feature,importance_mean,importance_std
estimated_delivery_window_days,0.07539742208301232,0.0023640940231480175
customer_state,0.05522482627582537,0.006602873317960332
same_customer_seller_state,0.046154515604101366,0.004013946989070148
customer_zip_region,0.04258815185264953,0.00223708314171336
dominant_seller_state,0.01577798675826836,0.002520137066739206
payment_value,0.004993770113626265,0.0006948129025990006
item_count,0.0025525741359784713,0.0008842432018266934
seller_count,0.002005325054572358,0.000988437223464113
freight_value,0.0017649145816455898,0.0014205809933042965
average_product_width_cm,0.0017571609721930466,0.0004330177735896176
purchase_month,0.0008772998443768165,6.518983275960355e-05
purchase_hour,0.0005795144232395762,4.720959393208702e-05
unique_products,0.0001593530188708873,0.0002358258892222361
payment_installments,7.237926210514518e-05,0.00039760337370169357
purchase_day_of_week,-5.83618976293665e-06,7.868121699749391e-05
average_product_height_cm,-0.0002277780348076778,0.0011510560183785952
total_product_weight_g,-0.00023312801846861464,4.4827003614648304e-05
item_value,-0.0004530075124474416,0.0017407210004962625
average_product_length_cm,-0.0004655879048365841,0.001321552696333606
payment_type,-0.0004893514766174112,0.0020854783336271498
dominant_product_category,-0.002504479552693469,0.0008446925459093278
