order_value_band,orders,late_orders,late_rate,true_positives,false_negatives,false_positives,recall,false_negative_rate
"(2.1990000000000003, 45.0]",3688,264,0.07158351409978309,171,93,1253,0.6477272727272727,0.3522727272727273
"(45.0, 82.5]",3548,241,0.06792559188275085,168,73,1504,0.6970954356846473,0.3029045643153527
"(82.5, 149.0]",3645,221,0.06063100137174211,137,84,1456,0.6199095022624435,0.38009049773755654
"(149.0, 7160.0]",3590,231,0.06434540389972145,160,71,1535,0.6926406926406926,0.30735930735930733
