threshold,precision,recall,f1,f2
0.05,0.05363585900638357,1.0,0.10181099769509384,0.22080667276051189
0.06,0.05379636717934442,1.0,0.10210011887465328,0.22135043811923713
0.07,0.05395030709101061,1.0,0.10237732600490033,0.22187141216991962
0.08,0.05413923518700098,1.0,0.1027174274134609,0.22251007484168106
0.09,0.054379176925782625,1.0,0.10314918601547905,0.2233200439128676
0.1,0.05467534304710709,1.0,0.10368184561732949,0.22431804991294257
0.11,0.05493568332030417,1.0,0.10414982484505524,0.22519373069976112
0.12,0.055301187580483614,1.0,0.10480645379974239,0.2264206209724663
0.13,0.055703682352093394,1.0,0.10552901023890784,0.22776828334020865
0.14,0.056067309784579675,1.0,0.10618131868131868,0.2289827596421589
0.15,0.056501717710693664,1.0,0.10696001106960011,0.230429857509092
0.16,0.057001696040115034,1.0,0.1078554485837868,0.2320903140575272
0.17,0.057556102288824275,0.9987063389391979,0.10883970111377414,0.233868524689488
0.18,0.05796010538200978,0.9961190168175937,0.10954616588419405,0.23508579104842156
0.19,0.058366943155011036,0.9922380336351876,0.11024867040390973,0.23624715086552084
0.2,0.058823529411764705,0.9883570504527813,0.11103844197369377,0.2375621890547264
0.21,0.059415990006246096,0.9844760672703752,0.11206833075620352,0.23930817610062896
0.22,0.059966816781227776,0.981888745148771,0.11303052866716307,0.24096768048764997
0.23,0.06061577934573444,0.9780077619663649,0.11415628539071347,0.24286815728604474
0.24,0.06139565181988437,0.9754204398447607,0.11552014708135437,0.2452351525401678
0.25,0.06230349164322357,0.9741267787839586,0.11711641651761412,0.24805639741731456
0.26,0.06300932538015626,0.9702457956015524,0.11833385926159672,0.25008336112037344
0.27,0.06403771967423917,0.9663648124191462,0.12011577424023155,0.2531002236226875
0.28,0.06506550218340611,0.963777490297542,0.12190133355150126,0.25615458671434466
0.29,0.06647630944945124,0.963777490297542,0.12437395659432388,0.2605077278131338
0.3,0.06768081617781016,0.9611901681759379,0.1264573227810399,0.2640369580668088
0.31,0.0690587138863001,0.9586028460543338,0.12883595583760757,0.2680509332947475
0.32,0.07014028056112225,0.9508408796895214,0.13064344116601492,0.2707980252007958
0.33,0.07153341814267541,0.9456662354463131,0.13300582241630277,0.2745849297573436
0.34,0.07315598548972188,0.9391979301423027,0.13573899224081518,0.27888752304855563
0.35,0.07518483807143601,0.9340232858990944,0.13916730917501927,0.28436392280425365
0.36,0.07686543196659887,0.9288486416558862,0.1419814119042911,0.28874768760556585
0.37,0.07863550780817366,0.9184993531694696,0.14486839420526423,0.2928801254021945
0.38,0.08011494252873563,0.9016817593790427,0.147155072310778,0.29553934871099047
0.39,0.08202005730659026,0.888745148771022,0.1501803475789704,0.2995291245204046
0.4,0.08385093167701864,0.8732212160413971,0.15300918055083304,0.30290791599353795
