model,split,pr_auc,roc_auc,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp
DummyClassifier,train,0.09027232744450532,0.5,0.0,0.0,0.0,0.5,61433,0,6096,0
DummyClassifier,validation,0.053420870767104355,0.5,0.0,0.0,0.0,0.5,13697,0,773,0
LogisticRegression,train,0.2152533105070727,0.7128341302559821,0.16217900772874594,0.640255905511811,0.2588024666799284,0.6560223417650699,41270,20163,2193,3903
LogisticRegression,validation,0.1579638628410077,0.7678193853839629,0.1141091658084449,0.7166882276843467,0.1968727789623312,0.701338930225323,9396,4301,219,554
RandomForestClassifier,train,0.4942464253619669,0.9030346829097855,0.3454005030104413,0.7434383202099738,0.4716657126502576,0.8018137346821685,52844,8589,1564,4532
RandomForestClassifier,validation,0.1405059495558335,0.7214528710029041,0.17581187010078386,0.20310478654592498,0.18847539015606243,0.5746851960764962,12961,736,616,157
HistGradientBoostingClassifier,train,0.3541073599984155,0.8376726356879075,0.23899207011686144,0.7514763779527559,0.3626504116529449,0.7570153527157363,46846,14587,1515,4581
HistGradientBoostingClassifier,validation,0.12763714243800856,0.7115345510074301,0.1487603305785124,0.2794307891332471,0.19415730337078652,0.5945960253616882,12461,1236,557,216
