purchase_month,orders,late_orders,late_rate,true_positives,false_negatives,false_positives,recall,false_negative_rate
6,1964,21,0.010692464358452138,9,12,367,0.42857142857142855,0.5714285714285714
7,6156,276,0.04483430799220273,176,100,2323,0.6376811594202898,0.36231884057971014
8,6351,660,0.10392064241851677,451,209,3058,0.6833333333333333,0.31666666666666665
