date,predicted_orders,predicted_revenue,orders_lower_bound,orders_upper_bound,revenue_lower_bound,revenue_upper_bound
2018-08-22,233.69782790542797,37675.0337513114,121.50129259406225,329.4211499705688,20283.25814741694,53921.84590199505
2018-08-23,231.9022667110668,32983.99042446866,112.89987029461285,333.4321819360142,14537.226724885859,50216.33699108727
2018-08-24,204.07288253968264,34229.96568656058,78.633342641598,311.09481012456285,14785.369436695346,52394.45387985968
2018-08-25,182.14893304473313,26822.821381374135,50.58683368922922,294.39447764398074,6429.156785419331,45873.897320988486
2018-08-26,187.07275108225113,26794.114798062852,49.66061987175064,304.3093988540977,5493.626822799753,46692.31465607521
2018-08-27,247.67241522921526,39361.322520298745,104.64933450167635,369.69618700823526,17191.07172522755,60072.02556780182
2018-08-28,221.66559971139975,34262.39148864401,73.2435345129245,348.295652138052,11255.234935771547,55754.903762789705
2018-08-29,224.30898513708507,37337.620221042474,70.67755197718529,355.3835420731092,13522.950687739904,59584.48397723862
2018-08-30,217.25289682539687,33778.51979719052,58.58303493679162,352.6261171253268,9182.834864413453,56754.98188601533
2018-08-31,196.97452698412698,30401.724604632374,33.42137694190558,336.51404852828193,5049.072876569204,54085.319628438505
2018-09-01,187.6459737373737,28456.917011775862,19.351170770325155,331.23095683508495,2369.2536059341764,52827.13523780134
2018-09-02,193.98886176046173,30154.47106850603,21.08238842096523,341.5084084977276,3351.9448012207213,55192.49014982623
2018-09-03,266.9645293706296,42494.45007675479,89.56623078891732,418.3163908324784,14995.638345326352,68182.91563328434
2018-09-04,246.80726536796553,38060.79738718409,65.02810221478495,401.89677264155586,9882.900393750147,64383.64156826481
2018-09-05,241.2017646464646,39267.62146338805,55.144859443634346,399.94093613467464,10426.624405300743,66209.91143499041
2018-09-06,231.3568894660895,33984.48472905377,41.11840810482738,393.6636787977798,4495.294444533782,61532.29502400019
2018-09-07,202.37055411255415,31786.353610059232,8.040454520073126,368.16821139865704,1662.914630277137,59926.657716070695
2018-09-08,185.5867724386726,28552.982272852678,0.0,354.803297813585,0.0,57273.559883883696
2018-09-09,193.3554464646465,28448.099769949593,0.0,365.92311944645587,0.0,57737.45690601024
2018-09-10,262.3378871572873,43714.19621128513,56.21969034153656,438.19285881505715,11763.464248390486,73561.49599830367
2018-09-11,249.65133737373745,41531.532743245385,39.75083981463001,428.73327491952506,8994.49991453212,71926.53509081244
2018-09-12,243.21896002886,37127.94953350956,29.603120980007702,425.4707354757722,4014.9953066697053,68060.95829180944
2018-09-13,234.47707660117655,35337.962880043364,17.20942021963066,419.8444927021462,1658.934242613519,66799.77932432242
2018-09-14,203.034195959596,30227.265745561708,0.0,391.46574387646785,0.0,62209.14744608017
2018-09-15,188.3830777777779,27449.765941113423,0.0,379.8297219080596,0.0,59943.39024248073
2018-09-16,196.91566161616163,28654.58728309017,0.0,391.33064778529683,0.0,61652.01874935521
2018-09-17,266.9632467532469,46466.18529982928,35.66416379469564,464.30193060804356,10612.121383880658,79959.84658824785
2018-09-18,255.5411222000223,41724.33023692725,20.865231673425825,455.76081514739883,5346.821641354683,75706.97594964007
2018-09-19,251.03084326784324,37005.93303210987,13.026050434935343,454.0906737177381,112.40563294426101,71470.62616534709
2018-09-20,237.672041969142,35222.526732835075,0.0,443.532829980697,0.0,70162.61740101536
