,count,mean,std,min,25%,50%,75%,max,skewness
recency,94990.0,244.349478892515,153.0005422823046,1.0,120.0,225.0,353.0,730.0,0.44745450003342657
frequency,94990.0,1.0338667228129277,0.21082643593244332,1.0,1.0,1.0,1.0,16.0,11.50694944578519
monetary,94990.0,165.69256774397306,226.7402879695686,0.0,63.1,107.9,182.94,13664.08,9.107369092360333
