rfm_segment,customers,customer_share
Hibernating,22975,24.186756500684282
Needs Attention,18962,19.9621012738183
Promising,18399,19.369407306032215
New Customers,18355,19.32308664069902
High Value At Risk,14769,15.547952416043794
Potential Loyalists,1114,1.172755026844931
At Risk,252,0.26529108327192336
Champions,123,0.12948731445415307
Loyal Customers,41,0.043162438151384354
