k,inertia,silhouette_score,minimum_cluster_size,minimum_cluster_share
2,193525.91508105077,0.7081375253576047,2888,0.030403200336877566
3,130828.6122986723,0.399327614507976,2888,0.030403200336877566
4,84592.3859510807,0.3915461951688997,2888,0.030403200336877566
5,69872.44698431925,0.3589206611330514,2888,0.030403200336877566
6,59704.16078954868,0.35639156280969747,2888,0.030403200336877566
7,52106.691809230484,0.35441367883566516,2888,0.030403200336877566
8,46262.43633293944,0.3505104745394658,2888,0.030403200336877566
